"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"Bridgewater State University","MA",0.88,490,535,580,480,525,570,0.3819,0.7613,9200,0.4146,0.5854,0.7122,0.118,0.0788,0.0195,0.1576,0.3414215686,17372,0.0185,9600,0,0.0394,0.0224,0,0.1294,0.0428,0.1814,0.0039,0,0,0.0126,0,0,0.0409,0.053,0.0316,0.1663,1,54606694,800,13300
"Michigan State University","MI",0.71,550,600,650,550,610,670,0.2219,0.4203,39000,0.4939,0.5061,0.6797,0.0745,0.0514,0.0607,0.0247,0.2095218963,40616,0.0165,11900,0.0922,0.1211,0.0184,0.0016,0.0348,0.0152,0.0236,0.0085,0.0097,0,0.0284,0.0025,0.0383,0.0041,0.0896,0.0408,0.175,0.8893,3434142559,1108,10522
"Citadel Military College of South Carolina","SC",0.75,530,575,620,520,565,610,0.2226,0.4785,2900,0.8735,0.1265,0.7593,0.0732,0.0736,0.0179,0.1067,0.1881881882,34286,0.0065,8900,0.2533,0.0392,0.018,0,0.0098,0.0082,0.0082,0.0261,0,0,0.0196,0,0,0.0294,0.0752,0.0343,0.2892,0.6361,314435346,8000,7109
"University of Indianapolis","IN",0.93,490,545,600,490,540,590,0.3773,0.6131,4400,0.3662,0.6338,0.6518,0.1124,0.0705,0.0196,0.0834,0.3181126332,31086,0.001,7700,0,0.0483,0.0181,0.0222,0.0977,0.0121,0.0413,0.001,0,0,0.0121,0,0,0.0111,0.0332,0.2508,0.2155,1,109447757,1140,10600
"Malone University","OH",0.71,480,545,610,445,509,573,0.3828,0.7197,1100,0.3886,0.6114,0.7839,0.0844,0.0237,0.0038,0.1343,0.3270893372,29470,0.0076,6500,0,0.053,0.0076,0,0.0265,0.0303,0.0909,0,0,0.0114,0.0076,0,0,0.0114,0.0038,0.2045,0.2879,0.5057,21081977,1300,9800
"University of California-Santa Cruz","CA",0.51,600,635,670,600,655,710,0.3488,0.3887,17500,0.521,0.479,0.3107,0.0175,0.2629,0.2189,0.0518,0.3674975075,44645,0.0203,15100,0.0439,0.165,0.041,0,0.0867,0,0,0.0432,0.0241,0,0.1493,0,0.002,0.0193,0.1286,0,0.0762,0.7595,110406000,1085,16951
"Bethel University","MN",0.79,520,580,640,510,580,650,0.256,0.6078,2700,0.3703,0.6297,0.7902,0.0402,0.0492,0.0474,0.144,0.1858254105,36130,0.0094,7800,0.004,0.0575,0.0428,0.0174,0.0508,0.0094,0.1003,0.004,0,0,0.0147,0,0,0.0067,0.0414,0.1925,0.2166,0.432,49766786,1270,10780
"Hannibal-LaGrange University","MO",0.61,460,530,600,430,490,550,0.3461,0.4944,600,0.4066,0.5934,0.8,0.0298,0.0298,0.0066,0.2091,0.4574898785,22600,0.0145,5200,0,0.029,0,0.0145,0.0145,0.0193,0.1594,0,0,0,0.0242,0,0,0,0,0.2705,0.2705,1,8516273,770,8300
"Oglethorpe University","GA",0.68,580,620,660,530,575,620,0.3861,0.7563,1400,0.4111,0.5889,0.4385,0.2415,0.1259,0.0452,0.0635,0.1992409867,39440,0.0221,6800,0.0575,0.1062,0.0177,0.0265,0.0929,0.0177,0,0.0044,0,0,0,0,0,0.0088,0.0973,0,0.2611,1,34291302,1200,13400
"Carroll College","MT",0.69,540,595,650,530,585,640,0.1974,0.5041,1200,0.3854,0.6146,0.8172,0.0052,0.0369,0.0086,0.0535,0.1971830986,34630,0.0319,6600,0.0511,0.115,0.0192,0,0.0511,0.0192,0.0799,0.0032,0,0,0.0383,0,0,0.0096,0.0639,0.2843,0.1502,0.6484,56909845,1250,10036
